i,t_5m_ET,5m_open,5m_high,5m_low,5m_close,idx_30m,t_30m_start_ET,t_30m_indicator_sealed_at_ET,t_30m_window_that_produced_indicator_close_ET,30m_prev_window_open,30m_prev_window_close,BB_LOWER_30m,BB_UPPER_30m,BB_WIDTH_PCT_30m,BB_WIDTH_PCT_AVG_30m,BB_SQUEEZE_RATIO_30m,EMA_fast_30m,EMA_slow_30m,trend_30m_ok,prev_5m_close,prev_lower_bb,is_cross_5m,cross_mode
0,2026-04-21 09:30:00 EDT,271.5,272.8,270.6,270.975,3555,2026-04-20 13:30:00 EDT,2026-04-20 13:30:00 EDT,2026-04-20 13:00:00 EDT,272.375,272.19,268.5732,274.2034,2.0685,3.63,0.5698,263.7859,259.5619,True,,,False,prev_close
1,2026-04-21 09:35:00 EDT,270.985,271.66,270.53,270.9,3556,2026-04-21 09:30:00 EDT,2026-04-21 09:30:00 EDT,2026-04-20 13:30:00 EDT,272.18,272.4901,269.0606,274.1066,1.8518,3.6154,0.5122,263.9582,259.6609,True,270.975,268.5732,False,prev_close
2,2026-04-21 09:40:00 EDT,270.89,271.61,270.6512,271.41,3556,2026-04-21 09:30:00 EDT,2026-04-21 09:30:00 EDT,2026-04-20 13:30:00 EDT,272.18,272.4901,269.0606,274.1066,1.8518,3.6154,0.5122,263.9582,259.6609,True,270.9,269.0606,False,prev_close
3,2026-04-21 09:45:00 EDT,271.44,271.47,270.71,271.27,3556,2026-04-21 09:30:00 EDT,2026-04-21 09:30:00 EDT,2026-04-20 13:30:00 EDT,272.18,272.4901,269.0606,274.1066,1.8518,3.6154,0.5122,263.9582,259.6609,True,271.41,269.0606,False,prev_close
4,2026-04-21 09:50:00 EDT,271.27,271.69,271.17,271.45,3556,2026-04-21 09:30:00 EDT,2026-04-21 09:30:00 EDT,2026-04-20 13:30:00 EDT,272.18,272.4901,269.0606,274.1066,1.8518,3.6154,0.5122,263.9582,259.6609,True,271.27,269.0606,False,prev_close
5,2026-04-21 09:55:00 EDT,271.46,271.91,271.45,271.87,3556,2026-04-21 09:30:00 EDT,2026-04-21 09:30:00 EDT,2026-04-20 13:30:00 EDT,272.18,272.4901,269.0606,274.1066,1.8518,3.6154,0.5122,263.9582,259.6609,True,271.45,269.0606,False,prev_close
6,2026-04-21 10:00:00 EDT,271.87,272.06,271.37,271.795,3556,2026-04-21 09:30:00 EDT,2026-04-21 09:30:00 EDT,2026-04-20 13:30:00 EDT,272.18,272.4901,269.0606,274.1066,1.8518,3.6154,0.5122,263.9582,259.6609,True,271.87,269.0606,False,prev_close
7,2026-04-21 10:05:00 EDT,271.795,271.83,270.77,270.78,3557,2026-04-21 10:00:00 EDT,2026-04-21 10:00:00 EDT,2026-04-21 09:30:00 EDT,271.5,271.87,269.219,274.1101,1.7991,3.6004,0.4997,264.1149,259.7545,True,271.795,269.0606,False,prev_close
8,2026-04-21 10:10:00 EDT,270.775,270.87,270.33,270.394,3557,2026-04-21 10:00:00 EDT,2026-04-21 10:00:00 EDT,2026-04-21 09:30:00 EDT,271.5,271.87,269.219,274.1101,1.7991,3.6004,0.4997,264.1149,259.7545,True,270.78,269.219,False,prev_close
9,2026-04-21 10:15:00 EDT,270.4192,270.55,270.145,270.145,3557,2026-04-21 10:00:00 EDT,2026-04-21 10:00:00 EDT,2026-04-21 09:30:00 EDT,271.5,271.87,269.219,274.1101,1.7991,3.6004,0.4997,264.1149,259.7545,True,270.394,269.219,False,prev_close
