date,daily_pnl,equity,open_positions,cumulative_pnl,drawdown_pct
2025-04-23,-135.73,99864.27,0,-135.73,0.0
2025-04-24,24.16,99888.43,0,-111.57,0.0
2025-04-25,93.22,99981.65,0,-18.349999999999994,0.0
2025-04-28,-393.22,99588.42,0,-411.57000000000005,-0.39
2025-04-29,959.79,100548.22,0,548.2199999999999,0.0
2025-04-30,-937.07,99611.15,0,-388.85000000000014,-0.93
2025-05-01,-165.12,99446.03,0,-553.9700000000001,-1.1
2025-05-02,5621.84,105067.88,0,5067.87,0.0
2025-05-05,2668.3,107736.18,0,7736.17,0.0
2025-05-06,-5646.19,102089.99,0,2089.9800000000005,-5.24
2025-05-07,813.66,102903.65,0,2903.6400000000003,-4.49
2025-05-08,7559.37,110463.02,0,10463.01,0.0
2025-05-09,674.69,111137.71,0,11137.7,0.0
2025-05-12,21411.2,132548.91,0,32548.9,0.0
2025-05-13,5349.74,137898.66,0,37898.64,0.0
2025-05-14,2352.57,140251.22,0,40251.21,0.0
2025-05-15,1548.12,141799.35,0,41799.33,0.0
2025-05-16,2981.98,144781.33,0,44781.310000000005,0.0
2025-05-19,399.26,145180.59,0,45180.57000000001,0.0
2025-05-20,2984.62,148165.21,0,48165.19000000001,0.0
2025-05-21,4984.72,153149.93,0,53149.91000000001,0.0
2025-05-22,847.25,153997.18,0,53997.16000000001,0.0
2025-05-23,-11844.08,142153.1,0,42153.08000000001,-7.69
2025-05-27,5418.04,147571.14,0,47571.12000000001,-4.17
2025-05-28,-1532.76,146038.39,0,46038.36000000001,-5.17
2025-05-29,1416.96,147455.35,0,47455.32000000001,-4.25
2025-05-30,-18149.89,129305.45,0,29305.430000000008,-16.03
2025-06-02,-5668.28,123637.17,0,23637.15000000001,-19.71
2025-06-03,13954.17,137591.34,0,37591.32000000001,-10.65
2025-06-04,8149.07,145740.41,0,45740.39000000001,-5.36
2025-06-05,6868.46,152608.87,0,52608.850000000006,-0.9
2025-06-06,6573.65,159182.52,0,59182.50000000001,0.0
2025-06-09,17966.15,177148.67,0,77148.65000000001,0.0
2025-06-10,13079.58,190228.24,0,90228.23000000001,0.0
2025-06-11,320.12,190548.36,0,90548.35,0.0
2025-06-12,6510.3,197058.67,0,97058.65000000001,0.0
2025-06-13,7398.94,204457.61,0,104457.59000000001,0.0
2025-06-16,4683.1,209140.7,0,109140.69000000002,0.0
2025-06-17,246.56,209387.26,0,109387.25000000001,0.0
2025-06-18,3595.45,212982.71,0,112982.70000000001,0.0
2025-06-20,2454.17,215436.89,0,115436.87000000001,0.0
2025-06-23,-1851.89,213585.0,0,113584.98000000001,-0.86
2025-06-24,4707.16,218292.16,0,118292.14000000001,0.0
2025-06-25,10518.44,228810.6,0,128810.58000000002,0.0
2025-06-26,2441.69,231252.29,0,131252.27000000002,0.0
2025-06-27,3606.95,234859.24,0,134859.22000000003,0.0
2025-06-30,2532.56,237391.8,0,137391.78000000003,0.0
2025-07-01,23314.92,260706.72,0,160706.7,0.0
2025-07-02,2666.62,263373.34,0,163373.32,0.0
2025-07-03,3942.79,267316.14,0,167316.11000000002,0.0
2025-07-07,3396.58,270712.72,0,170712.69,0.0
2025-07-08,7977.83,278690.55,0,178690.52,0.0
2025-07-09,3009.17,281699.72,0,181699.69,0.0
2025-07-10,5400.32,287100.04,0,187100.01,0.0
2025-07-11,805.42,287905.46,0,187905.43000000002,0.0
2025-07-14,2547.63,290453.09,0,190453.06000000003,0.0
2025-07-15,8710.13,299163.22,0,199163.19000000003,0.0
2025-07-16,959.7,300122.92,0,200122.89000000004,0.0
2025-07-17,4872.71,304995.64,0,204995.60000000003,0.0
2025-07-18,967.98,305963.62,0,205963.58000000005,0.0
2025-07-21,4504.6,310468.22,0,210468.18000000005,0.0
2025-07-22,9882.81,320351.03,0,220350.99000000005,0.0
2025-07-23,5158.48,325509.51,0,225509.47000000006,0.0
2025-07-24,2916.46,328425.98,0,228425.93000000005,0.0
2025-07-25,4195.9,332621.88,0,232621.83000000005,0.0
2025-07-28,4005.85,336627.72,0,236627.68000000005,0.0
2025-07-29,1844.5,338472.23,0,238472.18000000005,0.0
2025-07-30,-8492.0,329980.23,0,229980.18000000005,-2.51
2025-07-31,1565.37,331545.6,0,231545.55000000005,-2.05
2025-08-01,-3225.84,328319.75,0,228319.71000000005,-3.0
2025-08-04,1878.54,330198.29,0,230198.25000000006,-2.44
2025-08-05,1546.16,331744.45,0,231744.41000000006,-1.99
2025-08-06,-8336.41,323408.04,0,223408.00000000006,-4.45
2025-08-07,441.82,323849.87,0,223849.82000000007,-4.32
2025-08-08,-3879.43,319970.44,0,219970.39000000007,-5.47
2025-08-11,-1146.14,318824.3,0,218824.25000000006,-5.8
2025-08-12,-1779.27,317045.03,0,217044.98000000007,-6.33
2025-08-13,3938.57,320983.6,0,220983.55000000008,-5.17
2025-08-14,2012.34,322995.94,0,222995.89000000007,-4.57
2025-08-15,-1982.36,321013.58,0,221013.5300000001,-5.16
2025-08-18,2401.94,323415.52,0,223415.4700000001,-4.45
2025-08-19,9673.35,333088.88,0,233088.8200000001,-1.59
2025-08-20,-2306.73,330782.15,0,230782.09000000008,-2.27
2025-08-21,3819.75,334601.9,0,234601.84000000008,-1.14
2025-08-22,8124.73,342726.63,0,242726.5700000001,0.0
2025-08-25,1124.02,343850.65,0,243850.59000000008,0.0
2025-08-26,3022.83,346873.49,0,246873.42000000007,0.0
2025-08-27,3248.41,350121.9,0,250121.83000000007,0.0
2025-08-28,2646.03,352767.93,0,252767.86000000007,0.0
2025-08-29,4180.74,356948.67,0,256948.60000000006,0.0
2025-09-02,-3019.52,353929.16,0,253929.08000000007,-0.85
2025-09-03,227.84,354157.0,0,254156.92000000007,-0.78
2025-09-04,2297.75,356454.75,0,256454.67000000007,-0.14
2025-09-05,2856.5,359311.24,0,259311.17000000007,0.0
2025-09-08,8671.82,367983.07,0,267982.99000000005,0.0
2025-09-09,2217.22,370200.29,0,270200.21,0.0
2025-09-10,4326.02,374526.31,0,274526.23000000004,0.0
2025-09-11,5710.34,380236.66,0,280236.57000000007,0.0
2025-09-12,3580.59,383817.24,0,283817.1600000001,0.0
2025-09-15,3131.32,386948.56,0,286948.4800000001,0.0
2025-09-16,98.42,387046.98,0,287046.9000000001,0.0
2025-09-17,4423.39,391470.38,0,291470.2900000001,0.0
2025-09-18,11759.68,403230.05,0,303229.9700000001,0.0
2025-09-19,1223.48,404453.53,0,304453.45000000007,0.0
2025-09-22,3863.35,408316.88,0,308316.80000000005,0.0
2025-09-23,9135.52,417452.4,0,317452.32000000007,0.0
2025-09-24,13684.33,431136.73,0,331136.6500000001,0.0
2025-09-25,13018.21,444154.94,0,344154.8600000001,0.0
2025-09-26,-753.26,443401.68,0,343401.6000000001,-0.17
2025-09-29,7224.98,450626.66,0,350626.5800000001,0.0
2025-09-30,1545.48,452172.14,0,352172.06000000006,0.0
2025-10-01,6973.07,459145.21,0,359145.13000000006,0.0
2025-10-02,4983.75,464128.97,0,364128.88000000006,0.0
2025-10-03,7228.02,471356.98,0,371356.9000000001,0.0
